tiempo,vehiculo_id,estado,ocupados
1779771219.9741893,1,NUEVO,0
1779771220.7058473,2,NUEVO,0
1779771221.2660503,3,NUEVO,0
1779771221.7791457,1,ESPERANDO,0
1779771221.7795894,1,ESTACIONADO,1
1779771221.7998817,4,NUEVO,1
1779771222.6710525,3,ESPERANDO,1
1779771222.671413,3,ESTACIONADO,2
1779771222.8113523,2,ESPERANDO,2
1779771222.8117554,2,ESTACIONADO,3
1779771223.555497,5,NUEVO,3
1779771224.0085256,4,ESPERANDO,3
1779771224.0088713,4,ESTACIONADO,4
1779771224.4671955,6,NUEVO,4
1779771225.9633312,5,ESPERANDO,4
1779771225.96391,5,ESTACIONADO,5
1779771225.9727342,6,ESPERANDO,5
1779771225.9731958,6,ESTACIONADO,6
1779771226.1556277,7,NUEVO,6
1779771226.623249,2,SALIENDO,5
1779771227.3599737,7,ESPERANDO,5
1779771227.360412,7,ESTACIONADO,6
1779771227.5510678,8,NUEVO,6
1779771227.7202885,4,SALIENDO,5
1779771228.0825963,9,NUEVO,5
1779771228.3004365,1,SALIENDO,4
1779771228.6301403,2,INACTIVO,4
1779771229.7278783,4,INACTIVO,4
1779771229.7521152,10,NUEVO,4
1779771229.8892844,9,ESPERANDO,4
1779771229.8896465,9,ESTACIONADO,5
1779771230.2603621,8,ESPERANDO,5
1779771230.2612405,8,ESTACIONADO,6
1779771230.307192,1,INACTIVO,6
1779771231.1912918,11,NUEVO,6
1779771231.3971097,3,SALIENDO,5
1779771231.7174666,12,NUEVO,5
1779771232.2612004,10,ESPERANDO,5
1779771232.2615454,10,ESTACIONADO,6
1779771232.47128,13,NUEVO,6
1779771232.6923282,6,SALIENDO,5
1779771233.3813345,7,SALIENDO,4
1779771233.403363,3,INACTIVO,4
1779771233.4786084,14,NUEVO,4
1779771233.5750966,13,ESPERANDO,4
1779771233.57556,13,ESTACIONADO,5
1779771233.5852609,5,SALIENDO,4
1779771234.200587,11,ESPERANDO,4
1779771234.2009916,11,ESTACIONADO,5
1779771234.325942,12,ESPERANDO,5
1779771234.326335,12,ESTACIONADO,6
1779771234.6977155,6,INACTIVO,6
1779771234.9023252,15,NUEVO,6
1779771235.3887534,7,INACTIVO,6
1779771235.5912497,5,INACTIVO,6
1779771235.677543,8,SALIENDO,5
1779771235.7876008,14,ESPERANDO,5
1779771235.7880862,14,ESTACIONADO,6
1779771236.3082507,15,ESPERANDO,6
1779771236.3086166,15,ESTACIONADO,7
1779771236.506479,16,NUEVO,7
1779771237.0853243,13,SALIENDO,6
1779771237.2540672,17,NUEVO,6
1779771237.6855562,8,INACTIVO,6
1779771238.412065,16,ESPERANDO,6
1779771238.412453,16,ESTACIONADO,7
1779771238.7017062,18,NUEVO,7
1779771239.0909972,13,INACTIVO,7
1779771239.143251,12,SALIENDO,6
1779771239.182143,10,SALIENDO,5
1779771239.2610507,17,ESPERANDO,5
1779771239.2614417,17,ESTACIONADO,6
1779771239.3184469,9,SALIENDO,5
1779771240.2705147,19,NUEVO,5
1779771240.3067853,18,ESPERANDO,5
1779771240.3072295,18,ESTACIONADO,6
1779771241.1510518,12,INACTIVO,6
1779771241.180131,20,NUEVO,6
1779771241.1903992,10,INACTIVO,6
1779771241.3244982,9,INACTIVO,6
1779771241.6231341,15,SALIENDO,5
1779771242.0143962,21,NUEVO,5
1779771243.2798812,19,ESPERANDO,5
1779771243.2802577,19,ESTACIONADO,6
1779771243.388957,20,ESPERANDO,6
1779771243.3893626,20,ESTACIONADO,7
1779771243.5292504,16,SALIENDO,6
1779771243.6301513,15,INACTIVO,6
1779771243.7121637,14,SALIENDO,5
1779771243.8432403,22,NUEVO,5
1779771243.928794,11,SALIENDO,4
1779771244.3226397,21,ESPERANDO,4
1779771244.3230145,21,ESTACIONADO,5
1779771244.4964502,23,NUEVO,5
1779771244.8770752,17,SALIENDO,4
1779771245.1244946,18,SALIENDO,3
1779771245.342396,24,NUEVO,3
1779771245.5385582,16,INACTIVO,3
1779771245.7213671,14,INACTIVO,3
1779771245.9367108,11,INACTIVO,3
1779771246.353246,22,ESPERANDO,3
1779771246.353618,22,ESTACIONADO,4
1779771246.3884978,25,NUEVO,4
1779771246.885002,17,INACTIVO,4
1779771247.1293404,18,INACTIVO,4
1779771247.2043014,23,ESPERANDO,4
1779771247.2048476,23,ESTACIONADO,5
1779771247.4509382,24,ESPERANDO,5
1779771247.4513593,24,ESTACIONADO,6
1779771248.054523,26,NUEVO,6
1779771248.7828593,27,NUEVO,6
1779771249.196914,25,ESPERANDO,6
1779771249.1972444,25,ESTACIONADO,7
1779771249.2072847,20,SALIENDO,6
1779771250.5284216,28,NUEVO,6
1779771250.5885043,27,ESPERANDO,6
1779771250.5888603,27,ESTACIONADO,7
1779771250.8629904,26,ESPERANDO,7
1779771250.8634212,26,ESTACIONADO,8
1779771251.043269,21,SALIENDO,7
1779771251.199287,29,NUEVO,7
1779771251.2127392,20,INACTIVO,7
1779771251.406051,19,SALIENDO,6
1779771252.521799,23,SALIENDO,5
1779771252.7048328,29,ESPERANDO,5
1779771252.7053533,29,ESTACIONADO,6
1779771252.7361915,28,ESPERANDO,6
1779771252.7365992,28,ESTACIONADO,7
1779771252.8274055,30,NUEVO,7
1779771253.0485842,21,INACTIVO,7
1779771253.4119823,19,INACTIVO,7
1779771253.9758997,22,SALIENDO,6
1779771254.27519,26,SALIENDO,5
1779771254.5275183,23,INACTIVO,5
1779771254.9330463,30,ESPERANDO,5
1779771254.933614,30,ESTACIONADO,6
1779771255.9810069,22,INACTIVO,6
1779771256.11625,25,SALIENDO,5
1779771256.279301,26,INACTIVO,5
1779771256.5070736,27,SALIENDO,4
1779771256.7169743,29,SALIENDO,3
1779771257.0807734,24,SALIENDO,2
1779771258.1233943,25,INACTIVO,2
1779771258.513275,27,INACTIVO,2
1779771258.723547,29,INACTIVO,2
1779771259.087962,24,INACTIVO,2
1779771260.260281,28,SALIENDO,1
1779771261.554138,30,SALIENDO,0
1779771262.26806,28,INACTIVO,0
1779771263.5606916,30,INACTIVO,0
